price,minimum_nights,number_of_reviews,availability_365
2108.0,30,0,199
180.0,4,0,356
220.0,2,2,198
1723.0,1,0,47
355.0,30,0,179
200.0,3,0,237
656.0,2,104,231
330.0,1,0,269
205.0,7,22,1
240.0,2,3,107
120.0,1,52,0
208.0,90,0,2
230.0,2,29,24
130.0,2,14,91
420.0,4,8,255
100.0,3,166,6
571.0,7,15,3
201.0,4,3,365
420.0,4,0,358
280.0,3,9,348
295.0,1,2,0
129.0,1,0,249
500.0,1,0,269
113.0,2,0,94
436.0,5,0,0
100.0,3,34,350
80.0,4,1,339
336.0,2,33,165
114.0,2,0,64
117.0,2,8,255
150.0,5,131,54
96.0,8,185,364
44.0,30,0,265
199.0,1,0,167
120.0,1,0,79
86.0,2,6,55
208.0,30,0,192
100.0,1,13,355
160.0,3,0,83
120.0,3,2,219
300.0,2,0,264
200.0,30,6,215
70.0,1,52,252
376.0,30,40,258
106.0,2,0,347
180.0,3,116,300
800.0,3,3,353
312.0,1,2,0
100.0,3,3,262
950.0,4,0,158
90.0,2,4,227
432.0,3,4,50
517.0,5,64,113
69.0,2,0,267
405.0,2,353,264
120.0,1,84,90
320.0,2,0,12
85.0,3,8,14
127.0,1,19,305
180.0,30,7,327
155.0,2,5,74
112.0,4,0,69
176.0,6,0,270
157.0,4,10,348
253.0,3,8,297
130.0,2,0,178
100.0,1,128,330
900.0,1,0,269
159.0,3,5,240
211.0,2,150,342
125.0,2,8,178
425.0,1,4,133
49.0,1,81,100
250.0,2,3,307
117.0,30,7,120
213.0,5,18,298
394.0,3,0,263
300.0,4,0,44
330.0,30,2,355
120.0,3,20,49
139.0,2,89,309
130.0,2,68,28
311.0,8,133,49
748.0,1,1,311
246.0,3,13,27
120.0,2,14,18
345.0,1,2,350
335.0,1,0,46
111.0,2,21,3
154.0,2,14,260
200.0,2,8,120
160.0,2,422,93
155.0,1,12,331
100.0,365,0,365
140.0,3,39,345
170.0,3,64,96
175.0,3,169,345
84.0,5,10,144
123.0,3,9,40
166.0,4,20,144
125.0,30,10,211
200.0,3,1,243
190.0,30,0,274
850.0,5,0,72
72.0,2,31,18
109.0,2,1,343
971.0,1,0,51
161.0,2,39,11
206.0,3,1,363
130.0,2,27,130
200.0,2,74,192
755.0,4,26,346
200.0,2,33,18
250.0,2,2,174
400.0,2,0,267
1200.0,4,0,269
208.0,30,2,287
114.0,1,64,21
63.0,5,60,207
96.0,2,47,1
335.0,6,2,363
200.0,1,0,202
